Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Distance
3.135,-0.94,0.36,-9.61,0.06,-0.08,-0.05,3452.63
3.179,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3453.05
3.204,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3453.05
3.322,-0.95,0.35,-9.63,0.06,-0.08,-0.05,3454.74
3.335,-0.95,0.35,-9.63,0.06,-0.08,-0.05,3454.74
3.368,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3454.32
3.414,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3454.32
3.44,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3452.63
3.475,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3452.63
3.499,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3452.63
3.534,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3454.74
3.58,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3454.74
3.604,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3454.32
3.655,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3454.32
3.668,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3452.2
3.701,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3452.2
3.745,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3452.2
3.843,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3452.63
3.864,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3452.63
3.895,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3452.63
3.939,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3452.63
3.965,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3451.35
4,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3451.35
4.03,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.05
4.06,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.05
4.105,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3452.2
4.136,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3452.2
4.164,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3452.2
4.195,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3452.2
4.24,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3452.2
4.269,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3453.05
4.367,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3450.93
4.401,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3450.93
4.428,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3452.63
4.461,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3452.63
4.49,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3453.47
4.535,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3453.47
4.564,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3452.63
4.595,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3452.63
4.623,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3452.63
4.656,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3452.63
4.701,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3452.63
4.725,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3453.05
4.76,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3453.05
4.787,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3453.05
4.875,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3451.78
4.89,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3451.78
4.924,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3451.78
4.954,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.9
4.985,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.9
5.022,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3452.63
5.061,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3452.63
5.09,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3454.32
5.119,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3454.32
5.149,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3454.32
5.194,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3454.32
5.219,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3454.32
5.254,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3454.32
5.284,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3454.32
5.314,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3453.9
5.411,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.47
5.425,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.47
5.446,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.47
5.489,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.47
5.516,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.47
5.548,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.47
5.58,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.47
5.624,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.47
5.652,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.47
5.684,-0.95,0.35,-9.63,0.06,-0.08,-0.04,3451.35
5.717,-0.95,0.35,-9.63,0.06,-0.08,-0.04,3451.35
5.745,-0.95,0.35,-9.63,0.06,-0.08,-0.04,3451.35
5.791,-0.95,0.35,-9.63,0.06,-0.08,-0.04,3451.35
5.818,-0.95,0.35,-9.63,0.06,-0.08,-0.04,3451.35
5.901,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3453.05
5.917,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3453.05
5.954,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3453.05
5.978,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3453.05
6.015,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3453.05
6.04,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3453.05
6.09,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3453.05
6.12,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3453.05
6.149,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.9
6.179,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.9
6.206,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.9
6.238,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3453.47
6.284,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3453.47
6.313,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3453.47
6.344,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3453.47
6.462,-0.95,0.36,-9.65,0.06,-0.08,-0.05,3453.9
6.478,-0.95,0.36,-9.65,0.06,-0.08,-0.05,3453.9
6.513,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3453.9
6.537,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3453.9
6.573,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3453.9
6.603,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3453.9
6.648,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3453.9
6.672,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.05
6.707,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.05
6.734,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.05
6.768,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
6.813,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
6.839,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
6.917,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3452.63
6.932,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3452.63
6.968,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3451.78
6.996,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3451.78
7.044,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
7.069,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
7.104,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3454.74
7.135,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3454.74
7.164,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3454.74
7.208,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3452.2
7.235,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3452.2
7.269,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3451.78
7.299,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3451.78
7.329,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3455.17
7.372,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3455.17
7.489,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3455.17
7.503,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.47
7.537,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.47
7.564,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3454.32
7.596,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3454.32
7.624,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3454.32
7.657,-0.95,0.38,-9.63,0.06,-0.08,-0.05,3453.47
7.702,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
7.727,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
7.763,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
7.792,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
7.839,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
7.854,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
7.948,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.47
7.963,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.47
7.997,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.47
8.023,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3455.59
8.058,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3455.59
8.088,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.9
8.118,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.9
8.164,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3453.47
8.186,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3453.47
8.224,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3453.47
8.252,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3453.47
8.299,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3453.47
8.324,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.47
8.358,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.47
8.388,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.47
8.487,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3452.63
8.522,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3452.63
8.549,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3454.74
8.583,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3454.74
8.627,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3453.47
8.654,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3453.47
8.688,-0.93,0.37,-9.63,0.06,-0.08,-0.05,3454.74
8.714,-0.93,0.37,-9.63,0.06,-0.08,-0.05,3454.74
8.748,-0.93,0.37,-9.63,0.06,-0.08,-0.05,3454.74
8.792,-0.93,0.37,-9.63,0.06,-0.08,-0.05,3454.74
8.82,-0.93,0.37,-9.63,0.06,-0.08,-0.05,3454.74
8.851,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.05
8.878,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.05
8.913,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.05
8.981,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.05
9.016,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.05
9.044,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.05
9.075,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.05
9.121,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.05
9.151,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.9
9.182,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.9
9.212,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
9.242,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
9.287,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.9
9.313,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.9
9.346,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.9
9.373,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.47
9.406,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.47
9.452,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.05
9.553,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3453.9
9.572,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3453.9
9.617,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3453.9
9.645,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3453.9
9.677,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.05
9.703,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.05
9.738,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3451.35
9.783,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3451.35
9.808,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3451.35
9.842,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3451.35
9.868,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3451.35
9.903,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3451.35
9.948,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3451.35
9.973,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3451.35
10.064,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3451.78
10.079,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3451.78
10.113,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3451.78
10.142,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3451.78
10.173,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3451.78
10.199,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
10.232,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
10.278,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
10.307,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
10.352,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
10.379,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
10.397,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
10.442,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3453.47
10.469,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3453.47
10.502,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3452.2
10.601,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3452.2
10.635,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3454.32
10.676,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3454.32
10.694,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3454.32
10.741,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3451.78
10.767,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3451.78
